removed_yr,BrandName,ProductName,chemical_count
2009,Nature's Gate,Nature's Gate Sunblock SPF 30 Tropical Scent Sunscreen Lotion,1
2009,Neutrogena,Acne Stress Control Power Cream Body Wash,1
2009,Neutrogena,Ageless Restoratives Antioxidant Detoxfying Cleanser,1
2009,Neutrogena,Ageless Restoratives Antioxidant Eye,1
2009,Neutrogena,Ageless Restoratives Antioxidant Lotion SPF 20,1
2009,Neutrogena,Ageless Restoratives Antioxidant Night,1
2009,Neutrogena,Ageless Restoratives Energy Renewal Eye Cream,1
2009,Neutrogena,Ageless Restoratives Skin Renewal Exfoliating Cleanser,1
2009,Neutrogena,Blackhead Eliminating Daily Scrub,1
2009,Neutrogena,Clear Pore Cleanser Mask,1
2009,Neutrogena,Deep Clean Gentle Scrub,1
2009,Neutrogena,Fresh Foaming Scrub,1
2009,Neutrogena,Healthy Skin Anti-Blemish Anti-Wrinkle Scrub,2
2009,Neutrogena,Healthy Skin Anti-Wrinkle Cream - SPF 15,2
2009,Neutrogena,Intensified Day Moisture - SPF 15,2
2009,Neutrogena,Men's Wrinkle Fighter Daily Moisturizer SPF 15,1
2009,Neutrogena,Oil-Free Acne Wash  Pink Grapefruit Foaming Scrub,2
2009,Neutrogena,Oil-Free Acne Wash Daily Scrub,2
2009,Neutrogena,Oil-Free Acne Wash Pink Grapefruit Body Cleanser,2
2009,Neutrogena,Razor Defense Face Scrub,1
2009,Neutrogena,Triple Moisture Active Soothing Shampoo,1
2009,Neutrogena,Triple Moisture Daily Deep Conditioner,1
2009,Neutrogena,Triple Moisture Recovery Hair Mask,1
2009,Neutrogena,Visibly Even Cleanser,1
2009,Neutrogena,Visibly Even Daily Moisturizer SPF 30,2
2009,No7,Blush Tint,1
2009,Nourifusion,"MultiVitamin moisture mask with vitamins A,C & E",1
2009,Nourifusion,"MultiVitamin toner with vitamins A,C & E normal to dry",2
2009,Oi-Lin,Cleansing Cream,1
2009,Oi-Lin,Firming & Moisturizing Body Scrub,1
2009,Oi-Lin,Replenish Gel,2
2009,Old Navy,Lip Gloss,1
2009,Orly Intl,Cuticle Therapy Creme,1
2009,Orly Intl,Pink Chocolate,1
2009,Orly Intl,Powder Puff,1
2009,PCA Skin,facial wash,1
2009,PRIORI Advanced AHA,SOOTHING COMPLEX,1
2009,PRIORI CoffeeBerry,PERFECTING MINERALS POWDER SPF 25 Shade 2,3
2009,PROVON,Shampoo for Body & Hair,2
2009,Palladio,Herbal Lipstick,1
2009,Palladio,Wet & Dry Foundation,1
2009,Parfums Christian Dior,ADDICTED TO DIOR Bijou L�vres Duo de Gloss Jeweled Lip Gloss Duo,1
2009,Personal Elements,Advanced Healing Therapeutic Skin Care Lotion,1
2009,Physicians Formula,Organic Wear 100% Natural Origin Mascara,1
2009,Pond's,Pond's Age defEYE Eye Therapy,1
2009,Pond's,Pond's Fresh Start Daily Exfoliating Cleanser,1
2009,Pure & Basic,Pure & Basic Glitter-Up! Natural Shimmering Body Lotion Gold Glitter,1
2009,Pure & Basic,Pure & Basic Glitter-Up! Natural Shimmering Body Lotion Opalescent Gliter,1
2009,Realities,Realities Eau de Parfum Spray,1
2009,Realities,Realities Eau de Toilette Spray,1
2009,Regis Design Line,Curl Lock Conditioner,1
2009,Regis Design Line,Curl Lock Shampoo,2
2009,Regis Design Line,Hydrate Conditioner,2
2009,Regis Design Line,Hydrate Shampoo,1
2009,Revlon,Colorstay 12 Hour Eye Shadow Quad- rose shimmer 92,1
2009,Revlon,New Complexion One-Step Compact Makeup- Rich Tan,1
2009,Revlon,Skinlights Lip Kit- Rose Quartz- Plumberry,1
2009,Rimmel - London,Rimmel - London 60 Seconds Nail Polish,1
2009,Sally Girl,Sally Girl Eye Shadow Connecting Compacts - All Shades,2
2009,Sally Hansen,Sally Hansen Color Quick Pen,1
2009,Sally Hansen,Sally Hansen French Manicure White Tip Pen,1
2009,Sally Hansen,Sally Hansen Lipnotic Gem Gloss,1
2009,Sally Hansen,Sally Hansen Salon Hand Care Fast Absorbing Daily Hand Creme,1
2009,Savvy,Savvy Nail Lacquer,1
2009,Sei Bella - Confidential,Age-Defying Concealer,1
2009,Sei Bella - Confidential,Lash Primer - Confidential,2
2009,Serum Vegetal,UV defense fluid SPF20,1
2009,Skincare Cosmetics,Lip Drink SPF 15,1
2009,Suave,Suave Aloe with Cucumber Body Lotion,1
2009,Suave,Suave Exhale Alluring Sandalwood and Cinnamon Body Wash,1
2009,Suave,Suave Exhale Inspiring Lime Verbena Body Lotion,1
2009,Suave,Suave Exhale Inspiring Lime Verbena Body Wash,1
2009,Suave,Suave Exhale Lively Juicy Tangerine Body Wash,1
2009,Suave,Suave Firming Body Lotion,1
2009,Suave,Suave Juicy Tangerine Body Lotion,1
2009,Suave,Suave Lavender Vanilla Body Lotion,1
2009,Suave,Suave Natural Oatmeal Body Lotion,1
2009,Suave,Suave Naturals Apricot Exfoliating Body Wash,1
2009,Suave,Suave Naturals Cocoa Butter Body Wash,1
2009,Suave,Suave Naturals Lavender Vanilla Calming Body Wash,1
2009,Suave,Suave Peppermint Bliss Shimmer Body Wash,1
2009,Suave,Suave Powder Fresh Body Lotion,1
2009,Suave,Suave Sandalwood and Cinnamon Body Lotion,1
2009,Suave,Suave Skin Therapy Advanced Therapy Moisturizer,1
2009,Suave,Suave Skin Therapy Daily Exfoliating Body Wash,1
2009,Suave,Suave Skin Therapy Sensitive Skin Moisturizer,1
2009,Suave,Suave Vitamin E Body Lotion,1
2009,Sunflowers,Sunflowers Eau de Toilette Spray Naturel,1
2009,TRUETOUCH,Foundation Primer Cream,1
2009,The Body Shop,LOVE ETC BODY WASH,1
2009,The Body Shop,SATSUMA SHOWER GEL,1
2009,Topps,Nail Polish,1
2009,TrueTouch,Contouring Eye Liner,1
2009,TrueTouch,Precision Lip Liner,1
2009,Vaseline,Vaseline Ale Fresh Protecting Body Lotion SPF 15,1
2009,Vaseline,Vaseline Aloe Fresh Hydrating Body Lotion,1
2009,Vaseline,Vaseline Cocoa Butter Deep Conditioning Body Lotion,1
2009,Vaseline,Vaseline Cocoa Butter Deep Conditioning Cream,1
2009,Vaseline,Vaseline Daily Skin Shield Protective Body Lotion with SPF 15,1
2009,Vaseline,Vaseline Deep Moisture Cream,1
2009,Vaseline,Vaseline Intensive Rescue Healing Hand Cream,1
2009,Vaseline,Vaseline Intensive Rescue Moisture Locking Lotion,1
2009,Vaseline,Vaseline Intensive Rescue Moisture Locking Lotion Unfragranced,1
2009,Vaseline,Vaseline Men Fast Absorbing Body and Face Lotion,1
